dv_percent,perigee_km,apogee_km,eccentricity,period_min
-1,135.493820374547,400,0.0199,89.8646436072725
-0.5,266.111702616402,399.999999999999,0.00997499999999985,91.1925391467359
-0.25,332.639737025732,400,0.00499374999999969,91.871372095763
0,399.999999999999,400.000000000003,2.22044604925031e-16,92.5604045208705
0.25,400.000000000001,468.207560813823,0.00500624999999988,93.2598504796191
0.5,400,537.277857370134,0.010025,93.9699298881703
1,399.999999999999,678.070320849069,0.0201000000000002,95.4228992053829
